"Country","Capital"
"Kabul","Af    nist  n                  "
"Tirana","Shqip  ria"
"Algiers","Dzayer                  Al-Jaz  'ir              "
"Pago Pago","Amerika S  moaAmerican Samoa"
"Andorra la Vella","Andorra"
"Luanda","AngolaNgola"
"The Valley","Anguilla"
"Saint John's","Antigua and Barbuda"
"Buenos Aires","Argentina"
"Yerevan","Hayast  n                "
"Oranjestad","Aruba"
"Canberra","Australia"
"Vienna","  sterreich"
"Mariehamn","  landAhvenanmaa"
"Baku","Az  rbaycan"
"Nassau","The Bahamas"
"Manama","Al-Ba   rayn              "
"Dhaka","B  ngl  desh                        "
"Bridgetown","Barbados"
"Minsk","Bielaru                  Belarus                "
"Brussels","Belgi  BelgiqueBelgien"
"Belmopan","Belize"
"Porto-Novo","B  nin"
"Hamilton","Bermuda"
"Thimphu","Druk Yul                           "
"La Paz","BoliviaBuliwyaWuliwyaVol  via"
"Kralendijk","Bonaire"
"Sarajevo","Bosna i Hercegovina                                    "
"Gaborone","Botswana"
"Bras  lia","Brasil"
"Road Town","British Virgin Islands"
"Bandar Seri Begawan","Brunei          "
"Sofia","B  lgariya or B  lgarija                "
"Ouagadougou","Burkina Faso"
"Gitega","UburundiBurundi"
"Phnom Penh","K  mp  ch  a                     "
"Yaound  ","CamerounCameroon"
"Ottawa","Canada"
"Praia","Cabo Verde"
"George Town","Cayman Islands"
"Bangui","CentrafriqueB  afr  ka"
"N'Djamena","TchadT    d        "
"Santiago","Chile"
"Beijing","Zh  nggu   (Zh  nghu   R  nm  n G  ngh  gu  )       (                     )"
"Flying Fish Cove","Christmas Island"
"West Island","Cocos Islands"
"Bogot  ","Colombia"
"Moroni","KomoriJuzur al-Qamar                 Comores"
"Brazzaville","R  publique du CongoRepubilika ya K  ngoRepubl  ki ya Kong  "
"Kinshasa","R  publique d  mocratique du CongoRepubl  ki ya Kong   Demokrat  kiRepubilika ya K  ngo ya DimokalasiJamhuri ya Kidemokrasia ya Kongo"
"Avarua","Cook IslandsK  ki '  irani"
"San Jos  ","Costa Rica"
"Yamoussoukro","C  te d'Ivoire"
"Zagreb","Hrvatska"
"Havana","Cuba"
"Willemstad","Cura  aoK  rsouCura  ao"
"Nicosia","Kypros            K  br  s"
"Prague","  esk   republika  esko"
"Copenhagen","Danmark"
"Djibouti","J  b  t              DjiboutiJabuutiGabuuti"
"Roseau","Dominica"
"Santo Domingo","Rep  blica Dominicana"
"D  li","Timor Lorosa'eTimor-Leste"
"Quito","Ecuador"
"Cairo","Misr or Masr      "
"San Salvador","El Salvador"
"Malabo","Guinea EcuatorialGuin  e   quatorialeGuin   Equatorial"
"Asmara","Iritriya            Ertra            "
"Tallinn","Eesti"
"Mbabane","EswatinieSwatini"
"Addis Ababa","Ityop'ia               "
"Stanley","Falkland Islands"
"T  rshavn","F  royarF  r  erne"
"Suva","FijiViti               "
"Helsinki","SuomiFinland"
"Paris","France"
"Cayenne","Guyane"
"Papeete","Polyn  sie fran  aise"
"Libreville","R  publique gabonaise"
"Banjul","The Gambia"
"Tbilisi","Sak'art'velo                              "
"Berlin","Deutschland"
"Accra","GhanaGaanaGanaGana"
"Gibraltar","Gibraltar"
"Athens","Hellas           or Ellada            "
"Nuuk","Kalaallit NunaatGr  nland"
"St. George's","Grenada"
"Basse-Terre","Guadeloupe"
"Hag  t  aformerly Aga  a","GuamGu  h  n"
"Guatemala City","Guatemala"
"Saint Peter Port","Guernsey"
"Conakry","Guin  eGineGine"
"Bissau","Guin  -Bissau"
"Georgetown","Guyana"
"Port-au-Prince","Ha  tiAyiti"
"Tegucigalpa","Honduras"
"Hong Kong","Hong KongHeung Gong      "
"Budapest","Magyarorsz  g"
"Reykjav  k","  sland"
"New Delhi","Bh  r  t            Bh  r  t            IndiaBh  rat            Bh  rat            Bh  rata            Bh  rat            Bh  ratam               Bh  rat            Bh  rat            Bh  rata            Bh  rat            Bh  ratam                  B  ratam                  Bh  ratad    am                        "
"Jakarta","Indonesia"
"Tehran","  r  n          
"
"Baghdad","Al-'Iraq              raq          "
"Dublin","  ireIreland"
"Douglas","Isle of ManEllan Vannin"
"Jerusalem (declared)","Yisra'el          Isra  iyl              
"
"Rome","Italia"
"Kingston","Jamaica"
"Tokyo","NihonNippon      "
"St. Helier","JerseyJerseyJ  rri"
"Amman","Al-   Urdun            "
"Astana","Qazaqstan                  Kazakhst  n                  "
"Nairobi","Kenya"
"Tarawa","Kiribati"
"Pyongyang","Chos  n as called in NK       /       Bukchos  n         "
"Seoul","Hanguk as called in SK       /       Namhan      "
"Pristina","KosovaKosovo            "
"Kuwait City","Dawlat ul-Kuwayt                     il-ikwet            "
"Bishkek","Kyrgyzstan                    Kyrgyzstan                    "
"Vientiane","Lao                        "
"Riga","Latvija"
"Beirut","Lubn  n          Liban"
"Maseru","Lesotho"
"Monrovia","Liberia"
"Tripoli","Libya               L  biy            "
"Vaduz","Liechtenstein"
"Vilnius","Lietuva"
"Luxembourg","L  tzebuergLuxemburgLuxembourg"
"Macau","Oum  n      Macau"
"Antananarivo","MadagasikaraMadagascar"
"Lilongwe","MalawiMala  i"
"Kuala Lumpur","Malaysia"
"Mal  ","Dhivehi Raajje                        "
"Bamako","Mali"
"Valletta","MaltaMalta"
"Majuro","Marshall IslandsAor  kin    aje   "
"Fort-de-France","Martinique"
"Nouakchott","Muritan / Agawec                      /                M  r  t  ny                    "
"Port Louis","MauritiusMauriceMoris"
"Mamoudzou","MayotteMaore"
"Mexico City","M  xicoM  xihco
"
"Palikir","Federated States of Micronesia"
"Chi  in  u","Moldova"
"Monaco","MonacoM  negu"
