"Country","Capital"
"Kabul","Afghanistan"
"Tirana"," Albania"
"Algiers"," Algeria"
"Pago Pago"," American Samoa"
"Andorra la Vella"," Andorra"
"Luanda"," Angola"
"The Valley"," Anguilla"
"Saint John's"," Antigua and Barbuda"
"Buenos Aires"," Argentina"
"Yerevan"," Armenia"
"Oranjestad"," Aruba"
"Canberra"," Australia"
"Vienna"," Austria"
"Mariehamn","   land"
"Baku"," Azerbaijan"
"Nassau","  The Bahamas"
"Manama","  Bahrain"
"Dhaka","  Bangladesh"
"Bridgetown","  Barbados"
"Minsk","  Belarus"
"Brussels","  Belgium"
"Belmopan","  Belize"
"Porto-Novo","  Benin"
"Hamilton","  Bermuda"
"Thimphu","  Bhutan"
"La Paz","  Bolivia"
"Kralendijk","  Bonaire"
"Sarajevo","  Bosnia and Herzegovina"
"Gaborone","  Botswana"
"Bras  lia","  Brazil"
"Road Town","  British Virgin Islands"
"Bandar Seri Begawan","  Brunei"
"Sofia","  Bulgaria"
"Ouagadougou","  Burkina Faso"
"Gitega","  Burundi"
"Phnom Penh"," Cambodia"
"Yaound  "," Cameroon"
"Ottawa"," Canada"
"Praia"," Cape Verde"
"George Town"," Cayman Islands"
"Bangui"," Central African Republic"
"N'Djamena"," Chad"
"Santiago"," Chile"
"Beijing"," China (People's Republic of)"
"Flying Fish Cove"," Christmas Island"
"West Island"," Cocos Islands"
"Bogot  "," Colombia"
"Moroni"," Comoros"
"Brazzaville"," Republic of the Congo"
"Kinshasa"," Democratic Republic of the Congo
"
"Avarua"," Cook Islands"
"San Jos  "," Costa Rica"
"Yamoussoukro"," C  te d'Ivoire(formerly Ivory Coast)"
"Zagreb"," Croatia"
"Havana"," Cuba"
"Willemstad"," Cura  ao"
"Nicosia"," Cyprus"
"Prague"," Czech Republic"
"Copenhagen"," Denmark"
"Djibouti"," Djibouti"
"Roseau"," Dominica"
"Santo Domingo"," Dominican Republic"
"D  li"," East Timor"
"Quito"," Ecuador"
"Cairo"," Egypt"
"San Salvador"," El Salvador"
"Malabo"," Equatorial Guinea"
"Asmara"," Eritrea"
"Tallinn"," Estonia"
"Mbabane"," Eswatini(formerly Swaziland)"
"Addis Ababa"," Ethiopia"
"Stanley"," Falkland Islands"
"T  rshavn"," Faroe Islands"
"Suva"," Fiji"
"Helsinki"," Finland"
"Paris"," France"
"Cayenne"," French Guiana"
"Papeete"," French Polynesia"
"Libreville"," Gabon"
"Banjul"," The Gambia"
"Tbilisi"," Georgia"
"Berlin"," Germany"
"Accra"," Ghana"
"Gibraltar"," Gibraltar"
"Athens"," Greece"
"Nuuk"," Greenland"
"St. George's"," Grenada"
"Basse-Terre"," Guadeloupe"
"Hag  t  aformerly Aga  a"," Guam"
"Guatemala City"," Guatemala"
"Saint Peter Port"," Guernsey"
"Conakry"," Guinea"
"Bissau"," Guinea-Bissau"
"Georgetown"," Guyana"
"Port-au-Prince"," Haiti"
"Tegucigalpa"," Honduras"
"Hong Kong"," Hong Kong"
"Budapest"," Hungary"
"Reykjav  k"," Iceland"
"New Delhi"," India"
"Jakarta"," Indonesia"
"Tehran"," Iran"
"Baghdad"," Iraq"
"Dublin"," Ireland"
"Douglas"," Isle of Man"
"Jerusalem (declared)"," Israel"
"Rome"," Italy"
"Kingston"," Jamaica"
"Tokyo"," Japan"
"St. Helier"," Jersey"
"Amman"," Jordan"
"Astana"," Kazakhstan"
"Nairobi"," Kenya"
"Tarawa"," Kiribati"
"Pyongyang"," North Korea"
"Seoul"," South Korea"
"Pristina"," Kosovo"
"Kuwait City"," Kuwait"
"Bishkek"," Kyrgyzstan"
"Vientiane"," Laos"
"Riga"," Latvia"
"Beirut"," Lebanon"
"Maseru"," Lesotho"
"Monrovia"," Liberia"
"Tripoli"," Libya"
"Vaduz"," Liechtenstein"
"Vilnius"," Lithuania"
"Luxembourg"," Luxembourg"
"Macau"," Macau"
"Antananarivo"," Madagascar"
"Lilongwe"," Malawi"
"Kuala Lumpur"," Malaysia"
"Mal  "," Maldives"
"Bamako"," Mali"
"Valletta"," Malta"
"Majuro"," Marshall Islands"
"Fort-de-France"," Martinique"
"Nouakchott"," Mauritania"
"Port Louis"," Mauritius"
"Mamoudzou"," Mayotte"
"Mexico City"," Mexico"
"Palikir"," Federated States of Micronesia"
"Chi  in  u"," Moldova"
"Monaco"," Monaco"
"Ulaanbaatar"," Mongolia"
"Podgorica"," Montenegro"
"Brades Estate"," Montserrat"
"Rabat"," Morocco"
"Maputo"," Mozambique"
"Naypyidaw"," Myanmar (or Burma)"
"Windhoek"," Namibia"
"Yaren (de facto)"," Nauru"
"Kathmandu"," Nepal"
"Amsterdam"," Netherlands"
"Noum  a"," New Caledonia"
"Wellington"," New Zealand"
"Managua"," Nicaragua"
"Niamey"," Niger"
"Abuja"," Nigeria"
"Alofi"," Niue"
"Kingston"," Norfolk Island"
"Skopje"," North Macedonia"
"Saipan"," Northern Mariana Islands"
"Oslo"," Norway"
"Muscat"," Oman"
"Islamabad"," Pakistan"
"Ngerulmud"," Palau"
"East Jerusalem (declared) Ramallah (administrative capital)"," Palestine"
"Panama City"," Panama"
"Port Moresby"," Papua New Guinea"
"Asunci  n"," Paraguay"
"Lima"," Peru"
"Manila"," Philippines"
"Adamstown"," Pitcairn Islands"
"Warsaw"," Poland"
"Lisbon"," Portugal"
"San Juan"," Puerto Rico"
"Doha"," Qatar"
"Saint-Denis"," R  union"
"Bucharest"," Romania"
"Moscow"," Russia"
"Kigali"," Rwanda"
"The Bottom","  Saba"
"Laayoune"," Sahrawi Arab Democratic Republic"
"Gustavia"," Saint Barth  lemy"
"Jamestown"," Saint Helena, Ascension and Tristan da Cunha"
"Basseterre"," Saint Kitts and Nevis"
"Marigot"," Saint Martin"
"Castries"," Saint Lucia"
"Saint-Pierre"," Saint Pierre and Miquelon"
"Kingstown"," Saint Vincent and the Grenadines"
"Apia"," Samoa"
"San Marino"," San Marino"
"S  o Tom  "," S  o Tom   and Pr  ncipe"
"Riyadh"," Saudi Arabia"
"Dakar"," Senegal"
"Belgrade"," Serbia"
"Victoria"," Seychelles"
"Freetown"," Sierra Leone"
"Singapore"," Singapore"
"Philipsburg"," Sint Maarten"
"Bratislava"," Slovakia"
"Ljubljana"," Slovenia"
"Honiara"," Solomon Islands"
"Mogadishu"," Somalia"
"Pretoria (administrative capital), Cape Town (legislative capital), Bloemfontein, (judicial capital)"," South Africa"
"Juba"," South Sudan"
"Madrid"," Spain"
"Sri Jayawardenapura Kotte"," Sri Lanka"
"Oranjestad","  Sint Eustatius"
"Khartoum"," Sudan"
"Paramaribo"," Suriname"
"Longyearbyen"," Svalbard"
"Stockholm"," Sweden"
"Bern (de facto)"," Switzerland"
"Damascus"," Syria"
"Taipei"," Taiwan (Republic of China)"
"Dushanbe"," Tajikistan"
"Dodoma"," Tanzania"
"Bangkok"," Thailand"
"Lom  "," Togo"
""," Tokelau"
"Nuku  alofa"," Tonga"
"Port of Spain"," Trinidad and Tobago"
"Tunis"," Tunisia"
"Ankara"," Turkey"
"Ashgabat"," Turkmenistan"
"Cockburn Town"," Turks and Caicos Islands"
"Fongafale (in Funafuti)"," Tuvalu"
"Kampala"," Uganda"
"Kyiv"," Ukraine"
"Abu Dhabi"," United Arab Emirates"
"London"," United Kingdom"
"Washington, D.C."," United States"
"Charlotte Amalie"," United States Virgin Islands"
"Montevideo"," Uruguay"
"Tashkent"," Uzbekistan"
"Port Vila"," Vanuatu"
"Vatican City"," Vatican City"
"Caracas"," Venezuela"
"Hanoi"," Vietnam"
"Mata Utu"," Wallis and Futuna"
"Sana'a"," Yemen"
"Lusaka"," Zambia"
"Harare"," Zimbabwe"
